table,description,code_2008,code_2012,code_2016,code_2020
Some Other Race Alone,Female: 55 to 64 years,JVTE028,ABK6E028,AJ6TE028,AQYME028
Some Other Race Alone,Female: 65 to 74 years,JVTE029,ABK6E029,AJ6TE029,AQYME029
Some Other Race Alone,Female: 75 to 84 years,JVTE030,ABK6E030,AJ6TE030,AQYME030
Some Other Race Alone,Female: 85 years and over,JVTE031,ABK6E031,AJ6TE031,AQYME031
Two or More Races,Total,JVUE001,ABK7E001,AJ6UE001,AQYNE001
Two or More Races,Male,JVUE002,ABK7E002,AJ6UE002,AQYNE002
Two or More Races,Male: Under 5 years,JVUE003,ABK7E003,AJ6UE003,AQYNE003
Two or More Races,Male: 5 to 9 years,JVUE004,ABK7E004,AJ6UE004,AQYNE004
Two or More Races,Male: 10 to 14 years,JVUE005,ABK7E005,AJ6UE005,AQYNE005
Two or More Races,Male: 15 to 17 years,JVUE006,ABK7E006,AJ6UE006,AQYNE006
Two or More Races,Male: 18 and 19 years,JVUE007,ABK7E007,AJ6UE007,AQYNE007
Two or More Races,Male: 20 to 24 years,JVUE008,ABK7E008,AJ6UE008,AQYNE008
Two or More Races,Male: 25 to 29 years,JVUE009,ABK7E009,AJ6UE009,AQYNE009
Two or More Races,Male: 30 to 34 years,JVUE010,ABK7E010,AJ6UE010,AQYNE010
Two or More Races,Male: 35 to 44 years,JVUE011,ABK7E011,AJ6UE011,AQYNE011
Two or More Races,Male: 45 to 54 years,JVUE012,ABK7E012,AJ6UE012,AQYNE012
Two or More Races,Male: 55 to 64 years,JVUE013,ABK7E013,AJ6UE013,AQYNE013
Two or More Races,Male: 65 to 74 years,JVUE014,ABK7E014,AJ6UE014,AQYNE014
Two or More Races,Male: 75 to 84 years,JVUE015,ABK7E015,AJ6UE015,AQYNE015
Two or More Races,Male: 85 years and over,JVUE016,ABK7E016,AJ6UE016,AQYNE016
Two or More Races,Female,JVUE017,ABK7E017,AJ6UE017,AQYNE017
Two or More Races,Female: Under 5 years,JVUE018,ABK7E018,AJ6UE018,AQYNE018
Two or More Races,Female: 5 to 9 years,JVUE019,ABK7E019,AJ6UE019,AQYNE019
Two or More Races,Female: 10 to 14 years,JVUE020,ABK7E020,AJ6UE020,AQYNE020
Two or More Races,Female: 15 to 17 years,JVUE021,ABK7E021,AJ6UE021,AQYNE021
Two or More Races,Female: 18 and 19 years,JVUE022,ABK7E022,AJ6UE022,AQYNE022
Two or More Races,Female: 20 to 24 years,JVUE023,ABK7E023,AJ6UE023,AQYNE023
Two or More Races,Female: 25 to 29 years,JVUE024,ABK7E024,AJ6UE024,AQYNE024
Two or More Races,Female: 30 to 34 years,JVUE025,ABK7E025,AJ6UE025,AQYNE025
Two or More Races,Female: 35 to 44 years,JVUE026,ABK7E026,AJ6UE026,AQYNE026
Two or More Races,Female: 45 to 54 years,JVUE027,ABK7E027,AJ6UE027,AQYNE027
Two or More Races,Female: 55 to 64 years,JVUE028,ABK7E028,AJ6UE028,AQYNE028
Two or More Races,Female: 65 to 74 years,JVUE029,ABK7E029,AJ6UE029,AQYNE029
Two or More Races,Female: 75 to 84 years,JVUE030,ABK7E030,AJ6UE030,AQYNE030
Two or More Races,Female: 85 years and over,JVUE031,ABK7E031,AJ6UE031,AQYNE031
