year,totalvotes,democrat_voter,other_voter,republican_voter,gisjoin
2008,4160,2138,31,1991,G1300930
2008,38846,26135,164,12547,G1300950
2008,55083,27825,446,26812,G1300970
2008,5335,2603,21,2711,G1300990
2008,1187,201,5,981,G1301010
2008,20316,4936,150,15230,G1301030
2008,8317,3366,83,4868,G1301050
2008,8242,3068,64,5110,G1301070
2008,3855,1374,19,2462,G1301090
2008,10584,2611,166,7807,G1301110
2008,59321,20313,507,38501,G1301130
2008,34213,10691,390,23132,G1301150
2008,75376,15406,804,59166,G1301170
2008,8073,1914,90,6069,G1301190
2008,405628,272000,3492,130136,G1301210
2008,11149,2614,127,8408,G1301230
2008,1428,210,16,1202,G1301250
2008,33341,12676,186,20479,G1301270
2008,17607,4268,226,13113,G1301290
2008,9365,3539,51,5775,G1301310
2008,7919,3339,48,4532,G1301330
2008,290147,129025,2376,158746,G1301350
2008,14808,2900,142,11766,G1301370
2008,59928,14457,509,44962,G1301390
2008,4344,3535,14,795,G1301410
2008,11097,2248,191,8658,G1301430
2008,14908,4184,76,10648,G1301450
2008,10002,3365,100,6537,G1301470
2008,4225,1042,50,3133,G1301490
2008,88229,40527,587,47115,G1301510
2008,55931,22094,445,33392,G1301530
2008,3828,1197,26,2605,G1301550
2008,22960,4950,234,17776,G1301570
2008,5904,1935,53,3916,G1301590
2008,5278,1356,55,3867,G1301610
2008,7234,4149,24,3061,G1301630
2008,3440,1482,22,1936,G1301650
2008,3647,1198,23,2426,G1301670
2008,12438,4572,84,7782,G1301690
2008,7688,2752,63,4873,G1301710
2008,2873,1062,24,1787,G1301730
2008,19937,7769,116,12052,G1301750
2008,13087,3100,62,9925,G1301770
2008,16376,10474,74,5828,G1301790
2008,4416,1650,35,2731,G1301810
2008,3450,1288,43,2119,G1301830
2008,39240,17651,293,21296,G1301850
2008,11075,2586,163,8326,G1301870
2008,9544,3989,155,5400,G1301890
2008,6236,2905,49,3282,G1301910
2008,4984,3251,21,1712,G1301930
2008,11365,2965,174,8226,G1301950
2008,3188,1381,35,1772,G1301970
2008,9504,4465,57,4982,G1301990
2008,2738,818,21,1899,G1302010
2008,8120,3872,47,4201,G1302050
2008,12131,4106,92,7933,G1302070
2008,3590,1045,24,2521,G1302090
2008,9151,3091,73,5987,G1302110
2008,11382,3026,176,8180,G1302130
2008,74065,44158,339,29568,G1302150
2008,41435,20827,271,20337,G1302170
2008,17132,4825,187,12120,G1302190
2008,6447,2232,71,4144,G1302210
2008,56985,17229,564,39192,G1302230
2008,11165,5927,65,5173,G1302250
2008,12786,2595,187,10004,G1302270
2008,6791,1253,38,5500,G1302290
2008,8203,1575,81,6547,G1302310
2008,14113,4052,211,9850,G1302330
2008,3953,1377,23,2553,G1302350
2008,9132,3102,64,5966,G1302370
2008,1114,597,8,509,G1302390
2008,7599,2001,111,5487,G1302410
2008,3215,1833,12,1370,G1302430
2008,79333,52100,391,26842,G1302450
2008,37706,20526,259,16921,G1302470
2008,1738,479,7,1252,G1302490
2008,6481,3024,34,3423,G1302510
2008,3996,1660,21,2315,G1302530
2008,25255,10141,229,14885,G1302550
2008,10517,2705,123,7689,G1302570
2008,2105,1305,17,783,G1302590
2008,12235,6454,64,5717,G1302610
